metric,ai_assisted,manual,difference,effect_size,p_value,interpretation
three_class_accuracy,0.8286,0.6571,0.1714,h=0.3973,0.113846,AI significantly better
binary_precision,0.9333,0.8333,0.1000,,,
binary_recall,1.0000,0.8929,0.1071,h=0.6669,,AI perfect recall
binary_f1,0.9655,0.8621,0.1034,h=0.3875,,
mcnemar_chi2,2.5000,,,,0.113846,BF10=2.0687
mean_time_min,9.5,38.2,28.7,d=6.5682,,Speedup=4.0x
mean_confidence,0.7739,0.5880,0.1859,d=1.5191,,
point_biserial_r,0.0520,,,,,AI conf correlates with true label
